file_id,company,from_rel,to_rel,disposition,bucket,renamed,reason,ok
F00050,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Impact (Supplementary Docs)/Certifications/USDA Biobased/USDA Biobased Application_Carbon Smart Wood.docx,COMPANIES/Cambium/11_Impact_and_Climate/USDA Biobased Application_Carbon Smart Wood.docx,PLACED,11 Impact & Climate,False,moved,True
F00051,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Impact (Supplementary Docs)/Certifications/USDA Biobased/USDA_Guidelines_Final.pdf,COMPANIES/Cambium/11_Impact_and_Climate/USDA_Guidelines_Final.pdf,PLACED,11 Impact & Climate,False,moved,True
F00052,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Impact (Supplementary Docs)/Consulting Agreements /8 Rivers Feedstock Sourcing + Testing.pdf,COMPANIES/Cambium/11_Impact_and_Climate/8 Rivers Feedstock Sourcing + Testing.pdf,PLACED,11 Impact & Climate,False,moved,True
F00053,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Impact (Supplementary Docs)/Consulting Agreements /8Rivers _ Executive Summary.pdf,COMPANIES/Cambium/11_Impact_and_Climate/8Rivers _ Executive Summary.pdf,PLACED,11 Impact & Climate,False,moved,True
F00054,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Impact (Supplementary Docs)/Consulting Agreements /Landforce x Cambium MSA.pdf,COMPANIES/Cambium/11_Impact_and_Climate/Landforce x Cambium MSA.pdf,PLACED,11 Impact & Climate,False,moved,True
F00055,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Impact (Supplementary Docs)/Consulting Agreements /Larimer County CO & Cambium contract ($300k).PDF,COMPANIES/Cambium/11_Impact_and_Climate/Larimer County CO & Cambium contract ($300k).PDF,PLACED,11 Impact & Climate,False,moved,True
F00056,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Impact (Supplementary Docs)/Consulting Agreements /Lendlease Fort Cavazos Contract.pdf,COMPANIES/Cambium/11_Impact_and_Climate/Lendlease Fort Cavazos Contract.pdf,PLACED,11 Impact & Climate,False,moved,True
F00057,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Impact (Supplementary Docs)/Consulting Agreements /Partnership on Waste & Energy Phase II Contract.pdf,COMPANIES/Cambium/11_Impact_and_Climate/Partnership on Waste & Energy Phase II Contract.pdf,PLACED,11 Impact & Climate,False,moved,True
F00058,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Impact (Supplementary Docs)/Consulting Agreements /Penninsula Open Space Trust Contract.pdf,COMPANIES/Cambium/11_Impact_and_Climate/Penninsula Open Space Trust Contract.pdf,PLACED,11 Impact & Climate,False,moved,True
F00059,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Impact (Supplementary Docs)/Impact Quantification Tools [Confidential & Proprietary]/Biogenic Carbon Storage & Reinvestment Calculator.xlsx,COMPANIES/Cambium/11_Impact_and_Climate/Biogenic Carbon Storage & Reinvestment Calculator.xlsx,PLACED,11 Impact & Climate,False,moved,True
F00060,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Impact (Supplementary Docs)/Impact Quantification Tools [Confidential & Proprietary]/Carbon Smart Wood Impact Model.xlsx,COMPANIES/Cambium/11_Impact_and_Climate/Carbon Smart Wood Impact Model.xlsx,PLACED,11 Impact & Climate,False,moved,True
F00061,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Impact (Supplementary Docs)/Impact Quantification Tools [Confidential & Proprietary]/Traece-generated CSW Project Impact Report (Sample).pdf,COMPANIES/Cambium/11_Impact_and_Climate/Traece-generated CSW Project Impact Report (Sample).pdf,PLACED,11 Impact & Climate,False,moved,True
F00062,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Legal (Supplementary Docs)/Company Minute Book and Corporate Records/Confidentiality and Nondisclosure Agreement - CAMBIUM CARBON PBC Firewood Farms UNEXECUTED.docx,COMPANIES/Cambium/02_Financing_and_Legal/Confidentiality and Nondisclosure Agreement - CAMBIUM CARBON PBC Firewood Farms UNEXECUTED.docx,PLACED,02 Financing & Legal,False,moved,True
F00063,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Legal (Supplementary Docs)/Company Minute Book and Corporate Records/Confidentiality and Nondisclosure Agreement - CAMBIUM CARBON PBC _ ChipDrop.docx,COMPANIES/Cambium/02_Financing_and_Legal/Confidentiality and Nondisclosure Agreement - CAMBIUM CARBON PBC _ ChipDrop.docx,PLACED,02 Financing & Legal,False,moved,True
F00064,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Legal (Supplementary Docs)/Company Minute Book and Corporate Records/Confidentiality and Nondisclosure Agreement - CAMBIUM CARBON PBC.docx,COMPANIES/Cambium/02_Financing_and_Legal/Confidentiality and Nondisclosure Agreement - CAMBIUM CARBON PBC.docx,PLACED,02 Financing & Legal,False,moved,True
F00065,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Legal (Supplementary Docs)/Company Minute Book and Corporate Records/Confidentiality and Nondisclosure Agreement - CAMBIUM CARBON PBC_PlanITgeo.docx,COMPANIES/Cambium/02_Financing_and_Legal/Confidentiality and Nondisclosure Agreement - CAMBIUM CARBON PBC_PlanITgeo.docx,PLACED,02 Financing & Legal,False,moved,True
F00066,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Legal (Supplementary Docs)/Company Minute Book and Corporate Records/Confidentiality and Nondisclosure Agreement - CAMBIUM CARBON PBC_TimberEye.docx,COMPANIES/Cambium/02_Financing_and_Legal/Confidentiality and Nondisclosure Agreement - CAMBIUM CARBON PBC_TimberEye.docx,PLACED,02 Financing & Legal,False,moved,True
F00067,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Legal (Supplementary Docs)/Company Minute Book and Corporate Records/Confidentiality and Nondisclosure Agreement - CAMBIUM CARBON PBC_WorkingTrees.docx,COMPANIES/Cambium/02_Financing_and_Legal/Confidentiality and Nondisclosure Agreement - CAMBIUM CARBON PBC_WorkingTrees.docx,PLACED,02 Financing & Legal,False,moved,True
F00068,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Legal (Supplementary Docs)/Company Minute Book and Corporate Records/Confidentiality and Nondisclosure Agreement - CAMBIUM CARBON PBC_c scale.docx,COMPANIES/Cambium/02_Financing_and_Legal/Confidentiality and Nondisclosure Agreement - CAMBIUM CARBON PBC_c scale.docx,PLACED,02 Financing & Legal,False,moved,True
F00069,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Legal (Supplementary Docs)/Company Minute Book and Corporate Records/Digital Acknowledgement _ Confidentiality and Nondisclosure Agreement - CAMBIUM CARBON PBC.docx,COMPANIES/Cambium/02_Financing_and_Legal/Digital Acknowledgement _ Confidentiality and Nondisclosure Agreement - CAMBIUM CARBON PBC.docx,PLACED,02 Financing & Legal,False,moved,True
F00070,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Legal (Supplementary Docs)/Company Minute Book and Corporate Records/Forward Forestry Confidentiality and Nondisclosure Agreement - CAMBIUM CARBON PBC.docx,COMPANIES/Cambium/02_Financing_and_Legal/Forward Forestry Confidentiality and Nondisclosure Agreement - CAMBIUM CARBON PBC.docx,PLACED,02 Financing & Legal,False,moved,True
F00071,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Legal (Supplementary Docs)/Company Minute Book and Corporate Records/[TEMPLATE] Confidentiality and Nondisclosure Agreement - CAMBIUM CARBON PBC.docx,COMPANIES/Cambium/02_Financing_and_Legal/[TEMPLATE] Confidentiality and Nondisclosure Agreement - CAMBIUM CARBON PBC.docx,PLACED,02 Financing & Legal,False,moved,True
F00072,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Legal (Supplementary Docs)/Company Minute Book and Corporate Records/Acquisition of Forward Forestry/Executed Forward Forestry Asset Purchase Agreement wet signature.pdf,COMPANIES/Cambium/02_Financing_and_Legal/Executed Forward Forestry Asset Purchase Agreement wet signature.pdf,PLACED,02 Financing & Legal,False,moved,True
F00073,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Legal (Supplementary Docs)/Company Minute Book and Corporate Records/Acquisition of Forward Forestry/Final and Comprised (6.7.24) - Asset Purchase Agreement - Forward Forestry - Cambium Carbon PBC - unsigned.pdf,COMPANIES/Cambium/02_Financing_and_Legal/Final and Comprised (6.7.24) - Asset Purchase Agreement - Forward Forestry - Cambium Carbon PBC - unsigned.pdf,PLACED,02 Financing & Legal,False,moved,True
F00074,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Legal (Supplementary Docs)/Company Minute Book and Corporate Records/Acquisition of OE Custom/3-31-22 Employment Agreement - Paul Timmins (Execution Copy) .docx,COMPANIES/Cambium/02_Financing_and_Legal/3-31-22 Employment Agreement - Paul Timmins (Execution Copy).docx,PLACED,02 Financing & Legal,True,moved,True
F00075,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Legal (Supplementary Docs)/Company Minute Book and Corporate Records/Acquisition of OE Custom/Copy of IMG_7069.jpg,COMPANIES/Cambium/02_Financing_and_Legal/Copy of IMG_7069.jpg,PLACED,02 Financing & Legal,False,moved,True
F00076,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Legal (Supplementary Docs)/Company Minute Book and Corporate Records/Acquisition of OE Custom/IMG_7069.jpg,COMPANIES/Cambium/02_Financing_and_Legal/IMG_7069.jpg,PLACED,02 Financing & Legal,False,moved,True
F00077,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Legal (Supplementary Docs)/Company Minute Book and Corporate Records/Acquisition of OE Custom/IMG_7070.jpg,COMPANIES/Cambium/02_Financing_and_Legal/IMG_7070.jpg,PLACED,02 Financing & Legal,False,moved,True
F00078,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Legal (Supplementary Docs)/Company Minute Book and Corporate Records/Acquisition of OE Custom/Letter_Requesting_Permission_to_Assignment_BFL_Lease.docx,COMPANIES/Cambium/02_Financing_and_Legal/Letter_Requesting_Permission_to_Assignment_BFL_Lease.docx,PLACED,02 Financing & Legal,False,moved,True
F00079,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Legal (Supplementary Docs)/Company Minute Book and Corporate Records/Acquisition of OE Custom/OE Business Plan Outline V2.0.docx,COMPANIES/Cambium/02_Financing_and_Legal/OE Business Plan Outline V2.0.docx,PLACED,02 Financing & Legal,False,moved,True
F00080,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Legal (Supplementary Docs)/Company Minute Book and Corporate Records/Acquisition of OE Custom/Questions for Paul.docx,COMPANIES/Cambium/02_Financing_and_Legal/Questions for Paul.docx,PLACED,02 Financing & Legal,False,moved,True
F00081,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Legal (Supplementary Docs)/Company Minute Book and Corporate Records/Acquisition of OE Custom/Signed Purchase Agreement - BFL.docx,COMPANIES/Cambium/02_Financing_and_Legal/Signed Purchase Agreement - BFL.docx,PLACED,02 Financing & Legal,False,moved,True
F00082,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Legal (Supplementary Docs)/Company Minute Book and Corporate Records/Acquisition of OE Custom/Signed Purchase Agreement - BFL.pdf,COMPANIES/Cambium/14_Historical_Superseded/Signed Purchase Agreement - BFL.pdf,SUPERSEDED,14 Historical / Superseded,False,moved,True
F00083,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Legal (Supplementary Docs)/Company Minute Book and Corporate Records/Acquisition of OE Custom/TH_License.pdf,COMPANIES/Cambium/02_Financing_and_Legal/TH_License.pdf,PLACED,02 Financing & Legal,False,moved,True
F00084,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Legal (Supplementary Docs)/Company Minute Book and Corporate Records/Acquisition of OE Custom/To Do BFL (Passwords and Account Info).xlsx,COMPANIES/Cambium/02_Financing_and_Legal/To Do BFL (Passwords and Account Info).xlsx,PLACED,02 Financing & Legal,False,moved,True
F00085,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Legal (Supplementary Docs)/Company Minute Book and Corporate Records/Acquisition of OE Custom/BFL Records - Company Docs/BFL Bank Docs - Mar 23 2022 - 3-59 PM.pdf,COMPANIES/Cambium/02_Financing_and_Legal/BFL Bank Docs - Mar 23 2022 - 3-59 PM.pdf,PLACED,02 Financing & Legal,False,moved,True
F00086,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Legal (Supplementary Docs)/Company Minute Book and Corporate Records/Acquisition of OE Custom/BFL Records - Company Docs/BFL Bank Docs 2 - Mar 23 2022 - 4-37 PM.pdf,COMPANIES/Cambium/02_Financing_and_Legal/BFL Bank Docs 2 - Mar 23 2022 - 4-37 PM.pdf,PLACED,02 Financing & Legal,False,moved,True
F00087,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Legal (Supplementary Docs)/Company Minute Book and Corporate Records/Acquisition of OE Custom/BFL Records - Company Docs/BFL Farm Lease Jan 2023 - 3 year term.pdf,COMPANIES/Cambium/02_Financing_and_Legal/BFL Farm Lease Jan 2023 - 3 year term.pdf,PLACED,02 Financing & Legal,False,moved,True
F00088,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Legal (Supplementary Docs)/Company Minute Book and Corporate Records/Acquisition of OE Custom/BFL Records - Company Docs/BFL Ram Truck Title.pdf,COMPANIES/Cambium/02_Financing_and_Legal/BFL Ram Truck Title.pdf,PLACED,02 Financing & Legal,False,moved,True
F00089,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Legal (Supplementary Docs)/Company Minute Book and Corporate Records/Acquisition of OE Custom/BFL Records - Company Docs/BFL Sales & Use Tax.jpg,COMPANIES/Cambium/02_Financing_and_Legal/BFL Sales & Use Tax.jpg,PLACED,02 Financing & Legal,False,moved,True
F00090,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Legal (Supplementary Docs)/Company Minute Book and Corporate Records/Acquisition of OE Custom/BFL Records - Company Docs/BFL Sulphur Springs Lease 2023.pdf,COMPANIES/Cambium/02_Financing_and_Legal/BFL Sulphur Springs Lease 2023.pdf,PLACED,02 Financing & Legal,False,moved,True
